shipment_id,shipment_reference,physical_pallet_count,pallet_mapping_status,source_carton_number,source_carton_count,source_pallet_number,sku,part_number,name_zh,name_en,category,unit,expected_quantity,unit_price_incl_vat_cny,line_amount_cny,product_barcode_source,product_barcode,import_ready,review_issue
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,10#11#,2,,DM-GWM-0065,2904104XGW01A,前下摆臂（右）,Right Front Lower Control Arm,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,143.1,1431,products.barcode,,NO,Individual carton allocation required
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,12#,1,,DM-GWM-0088,1001120XGW04A,发动机机脚（右）,Right Engine Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,137.8,551.2,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,12#,1,,DM-GWM-0089,1001100XKM01A,发动机机脚（左）,Left Engine Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,137.8,551.2,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,12#,1,,DM-GWM-0090,1001101XKM01A,发动机机脚（右）,Right Engine Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,137.8,551.2,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,12#,1,,DM-GWM-0091,1001123XGW04A,发动机机脚（左）,Left Engine Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,137.8,551.2,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,12#,1,,DM-GWM-0092,1001122XGW04A,发动机机脚（右）,Right Engine Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,137.8,551.2,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0042,1001115AGW01A,发动机机脚胶（左）,Left Engine Mount,传动系统 / Drivetrain,个 / pc,4,153.7,614.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0059,2905101XPW01B,前减震器缓冲胶/缓冲块,Front Strut Bump Stop,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,15.9,63.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0073,2905136XGW01A,前减震器缓冲胶,Front Strut Bump Stop,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,10,15.9,159,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0075,2905117XPW01A,前减震器防尘套,Front Strut Dust Boot,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0076,2905108XKM01A,前减震器防尘套,Front Strut Dust Boot,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0087,1001119XGW04A,发动机机脚（左）,Left Engine Mount,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,137.8,551.2,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0103,2905302XGW04A,前减震器防尘套,Front Strut Dust Boot,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,21.2,84.8,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0104,2904500XKV08A,前减震器缓冲胶,Front Strut Bump Stop,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,4,15.9,63.6,products.barcode,,NO,Pallet mapping pending
c49dad78-2ffc-406a-ac50-3c1e4ffec434,AJG-YJ-GWM-202608-01-PACKING,4,not_recorded,13#,1,,DM-GWM-0105,2905107XPW01A,前螺旋弹簧上安装垫,Front Coil Spring Upper Insulator,底盘/悬挂转向 / Chassis / Suspension / Steering,个 / pc,2,15.9,31.8,products.barcode,,NO,Pallet mapping pending
