source_scope_number,scope_kind,physical_carton_count,member_carton_numbers,source_pallet_number,sku,part_number,expected_quantity,pi_row,packing_row
29#,carton,1,29#,,DM-GWM-0083,2905100XPW04A,4,89,97
29#,carton,1,29#,,DM-GWM-0085,2905550XGW04A,4,91,98
29#,carton,1,29#,,DM-GWM-0086,2905553XGW04A,4,92,99
30#,carton,1,30#,,DM-GWM-0022,1109107XGW02A,10,28,100
30#,carton,1,30#,,DM-GWM-0023,1109132XGW01A,10,29,101
31#,carton,1,31#,,DM-GWM-0015,1025200XEB55,4,21,102
31#,carton,1,31#,,DM-GWM-0017,1025011XEB55,6,23,103
31#,carton,1,31#,,DM-GWM-0026,1025100XEDA8,2,32,104
31#,carton,1,31#,,DM-GWM-0030,1109110XP6EXA,4,36,105
31#,carton,1,31#,,DM-GWM-0031,1109110XPE6EXA,4,37,106
31#,carton,1,31#,,DM-GWM-0046,151100057,2,52,107
32#,carton,1,32#,,DM-GWM-0112,3103100XPW01A,4,118,108
32#,carton,1,32#,,DM-GWM-0114,3103100XGW02A,4,120,109
32#,carton,1,32#,,DM-GWM-0117,3103100XGW01A,4,123,110
32#,carton,1,32#,,DM-GWM-0118,3103100XGW04A,4,124,111
33#,carton,1,33#,,DM-GWM-0111,1306100-ED01,6,117,112
33#,carton,1,33#,,DM-GWM-0116,1306100-EG01,6,122,113
33#,carton,1,33#,,DM-GWM-0119,1307100XEC71,4,125,114
34#,carton,1,34#,,DM-GWM-0100,2915100XPW04A,2,106,115
35#,carton,1,35#,,DM-GWM-0095,2915370XGW02A,4,101,116
35#,carton,1,35#,,DM-GWM-0096,2915105XGW02A,4,102,117
35#,carton,1,35#,,DM-GWM-0101,2915101XPW01A,2,107,118
36#,carton,1,36#,,DM-GWM-0094,2915101XGW02A,4,100,119
36#,carton,1,36#,,DM-GWM-0099,2915507XGW04A,4,105,120
37#,carton,1,37#,,DM-GWM-0068,2915102XGW01A,4,74,121
37#,carton,1,37#,,DM-GWM-0069,2915103XGW04A,4,75,122
38#,carton,1,38#,,DM-GWM-0033,3502108XPW01A,4,39,123
38#,carton,1,38#,,DM-GWM-0034,3501104XPW01A,10,40,124
38#,carton,1,38#,,DM-GWM-0035,3502102XGW02A,4,41,125
38#,carton,1,38#,,DM-GWM-0036,3501112XGW01A,10,42,126
38#,carton,1,38#,,DM-GWM-0037,3501107XGW02A,10,43,127
38#,carton,1,38#,,DM-GWM-0038,3502105XGW01A,4,44,128
38#,carton,1,38#,,DM-GWM-0039,3501100XGW02A,10,45,129
38#,carton,1,38#,,DM-GWM-0040,3501302XGW04A,4,46,130
